index,zones,"Arable land, crops mainly cereals and sugar",Built-up Area,"Closed canopy, mature trees covering > 50 percent",Coconut plantations,Coral Reef,Crop land mixed with coconut plantation,Cultivated Area mixed with brushland/grassland,Fishponds derived from mangrove,"Grassland, grass covering > 70 percent",Lake,Mangrove vegetation,Marshy area and swamp,"Open canopy, mature trees covering < 50 percent",Siltation pattern in lake,Unclassified
0,Baao,64110800.99891629,497246.439359259,,9472566.215175137,,25237014.339639414,,,600170.5777890662,598416.0229679254,,5983660.475285965,,,
1,Balatan,4509545.8510341095,,,,,1239095.0728939234,54062849.156096146,,,,,,,,
2,Bato,22539626.45642745,,,,,6549534.491873775,43739601.334019996,,,2746009.2788260016,366461.68083375425,,,,
3,Bato Lake,5589677.448877659,,,,,,,,,14273028.52763979,,,,,
4,Bombon,28172840.277096827,,,4230208.446273999,,7062880.112177959,,,,,,,,,
5,Buhi,34952262.33274371,,,12571003.448436974,,59376494.0268939,48679183.97834884,,,300705.1635646151,,,12092011.118471721,,
6,Buhi Lake,1684477.7420558035,,,817131.5316485077,,1270352.06773797,448464.1280517586,,,13211964.365279231,,,,,
7,Bula,70335417.80016612,,,,,16525584.180712074,62052138.04981614,,9164517.704808738,5895865.847296898,,398212.2205333859,,,
8,Cabusao,11530447.497466307,,,1556695.012818065,,12422544.536390558,4356221.334056595,,,,,,,,
9,Calabanga,38224916.18562904,,,22931383.693194658,,57214490.33234918,13602114.02148901,,,,,,7465158.666371131,,
10,Camaligan,7793804.375660182,,,,,1163458.8926297724,,,,,,,,,
11,Canaman,32237927.05828558,,,,,3149857.6617579916,,,,,,,,,
12,Caramoan,38646860.07333617,,,,14102437.566973433,120883218.16620383,79228584.77632213,,,,7047026.285934755,,,,532304.2464313793
13,Del Gallego,,405521.8616250002,10240668.71789587,44725741.417676225,,25015990.857135586,122408966.35017316,3201383.79527473,9538707.481744716,,840559.9986085729,,62090419.10485672,93813.68177819709,
14,Gainza,5401338.3838800285,,,,,7012409.493259447,,,,,,,,,
15,Garchitorena,29533293.853536963,,10769151.636076674,,6804071.47249367,99805511.08403309,33553689.66725698,,,,913465.629519708,,46474329.47771355,,117198.9285422129
16,Goa,2377077.4068753044,,,35681056.27431179,,116636893.921665,58019201.08273827,,,,,,8049814.684815844,,
17,Iriga City,23764714.189068463,,,21324219.861401815,,53904956.01825763,31056747.317596126,,,,,,,,
18,Lagonoy,56915.664767970164,,10481300.629039204,30950409.805276528,214929.1838768133,56248254.4827342,190995375.1368967,4173247.490785394,,,3842141.834548034,,89418356.8487385,,
19,Libmanan,82444746.42194697,856749.2276654561,,89507476.3062887,1659038.492105341,102724669.12536195,57112491.666836396,802953.7888653564,,,442046.1548968245,,14784609.131894153,445705.7382641659,
20,Lupi,,,,22404443.71697398,,65407925.338464476,142498746.61003613,,238111.03322488954,,9598.366317992195,,62874.65772640157,,
21,Magarao,31344369.77296186,,,1160557.282962128,,241044.77500143758,,,,,,,,,840341.5682553138
22,Milaor,33880672.45118856,,,,,269818.75329648424,,,,,,,,,
23,Minalabac,90959944.97260875,,,12425527.393347427,,,35479910.78747893,,,,,,,,
24,Nabua,48908314.661630034,,,578441.1047369002,,42802505.89615078,4323658.85425907,,,,,,,,
25,Naga City,34515849.9615088,2690343.6122921486,,1127207.6187676648,,31919565.24562913,6453525.418922541,,,,,,1352100.4292947056,,
26,Ocampo,78675857.54695785,,,957390.7894881397,,40463163.80663923,7795267.198422731,,,,,,272964.8778380777,,
27,Pamplona,46150980.64431762,,,19560972.658353005,,13959825.48562962,,,,,,,,,
28,Pasacao,2948876.276146182,,,94921932.2131438,,34904328.933685035,9307496.95430635,,,,,,,,
29,Pili,99205400.15266901,,,,,18869292.793935176,4779698.715857556,,48390.19562192423,,,,716734.2062674192,,
30,Presentacion,,,690879.8826038203,,,12731398.663241439,122713703.67167896,,,,,,23994911.281617053,,
31,Ragay,,,,87537533.96728197,659002.8773148642,48257267.41198653,138502575.01908562,4468972.883483223,4860658.754524136,,,,8688972.35853777,,
32,Sagnay,20880243.077289138,,,21945526.95297806,319022.2978324743,40108305.19393269,8129090.85971924,,,,,,11419340.49620305,,
33,San Fernando,18824538.73418703,,,17409065.05450336,,5029625.092080298,19879742.637524154,,,,,,,,
34,San Jose,34571583.201453164,,,444568.82089510886,,6116243.7741389405,730159.2332937649,,,,1887651.4134569587,,,,
35,Sipocot,,,,42712865.53948754,,122602396.6027693,71830706.93413346,298234.54686952854,,,,,,86754.28560072853,
36,Siruma,6847783.284245719,,,19965477.0341874,4300022.519491701,46414903.33689501,33523510.027879953,,3337711.111313071,,796665.97619948,,6078566.618906968,,
37,Tigaon,11736155.374094713,,,17794557.743111357,,40535333.05182483,9278473.316670094,,,,,,,,
38,Tinambac,2527112.486298243,439179.64858525706,,104470679.50943735,65436.578117337885,82576190.53232592,75698362.23290567,,,,7677209.730260698,,,,
