DESCRIPT,NAME_2,area,perimeter
Crop land mixed with coconut plantation,Cabusao,6446690.72729492,13526.0218750637
Crop land mixed with coconut plantation,Libmanan,25333186.6780396,44373.0168088777
Crop land mixed with coconut plantation,Lupi,64440912.0568237,67642.6383293881
Crop land mixed with coconut plantation,Ragay,33222604.5037231,35208.5028785537
Crop land mixed with coconut plantation,Sipocot,114249850.611694,68427.6176754072
Cultivated Area mixed with brushland/grassland,Del Gallego,103283226.93866,97076.0956579997
Cultivated Area mixed with brushland/grassland,Lupi,140158394.256653,71756.2140478396
Cultivated Area mixed with brushland/grassland,Ragay,138271906.074036,75425.4922031152
Cultivated Area mixed with brushland/grassland,Sipocot,49732976.5095825,37067.5188022143
"Grassland, grass covering > 70 percent",Siruma,3337711.11126709,9833.21008237583
Cultivated Area mixed with brushland/grassland,Siruma,2406212.53808594,10956.8436986239
Coral Reef,Siruma,3226.93505859375,374.040224500372
Cultivated Area mixed with brushland/grassland,Siruma,31117297.489502,64328.8314002336
Coral Reef,Siruma,1149031.09405518,7149.16289916147
Coral Reef,Siruma,2608249.67053223,10175.0919838089
Coral Reef,Siruma,194068.116699219,1726.65389400938
Crop land mixed with coconut plantation,Siruma,2947370.93359375,15863.5653722181
Crop land mixed with coconut plantation,Siruma,2307099.97174072,14071.7800870866
Crop land mixed with coconut plantation,Siruma,1842958.31884766,10265.61001502
"Open canopy, mature trees covering < 50 percent",Del Gallego,62090419.1046143,32715.8920031978
"Open canopy, mature trees covering < 50 percent",Lupi,62874.6577148438,1214.09929610634
"Open canopy, mature trees covering < 50 percent",Ragay,8688972.35852051,13931.4236648297
"Open canopy, mature trees covering < 50 percent",Siruma,1278571.06732178,7509.15338419021
"Open canopy, mature trees covering < 50 percent",Siruma,1986346.72613525,11726.0527948317
"Closed canopy, mature trees covering > 50 percent",Del Gallego,6708588.05450439,12381.2208474995
Coconut plantations,Siruma,4843634.15332031,13808.6911881701
Coconut plantations,Tinambac,2648081.2387085,8755.32572490669
Coral Reef,Siruma,345446.704223633,2770.30029947709
Crop land mixed with coconut plantation,Siruma,39317474.1122437,54102.4363650388
Crop land mixed with coconut plantation,Tinambac,68544809.9495239,64362.5348214903
Coconut plantations,Siruma,1950368.08752441,11402.8369609747
Crop land mixed with coconut plantation,Del Gallego,4025407.02490234,12989.6749969891
"Closed canopy, mature trees covering > 50 percent",Del Gallego,3532080.66308594,13900.0730640211
"Arable land, crops mainly cereals and sugar",Siruma,6847783.28399658,19735.0567548316
Coral Reef,Tinambac,65436.5780029297,1335.86281693178
"Open canopy, mature trees covering < 50 percent",Siruma,2813648.82501221,14285.9509886522
Coconut plantations,Siruma,5965960.19702148,21861.9629839743
Coral Reef,Garchitorena,140251.211242676,1775.38284081929
Cultivated Area mixed with brushland/grassland,Garchitorena,1699166.26824951,10051.0937145453
Coral Reef,Garchitorena,758091.031738281,10207.119176829
Mangrove vegetation,Siruma,796665.976318359,4977.64005015022
Coral Reef,Caramoan,546522.678771973,4742.88775001132
Coral Reef,Garchitorena,444498.128112793,6182.86844293602
Built-up Area,Tinambac,439179.648498535,2459.27433940507
Cultivated Area mixed with brushland/grassland,Garchitorena,668528.488098145,4050.25556677513
Unclassified,Garchitorena,28031.9356079102,624.130654689355
Coconut plantations,Siruma,7205514.5970459,15727.5533949577
Coconut plantations,Tinambac,3674109.21826172,19003.365967588
"Arable land, crops mainly cereals and sugar",Garchitorena,6282354.15631104,17485.5286370767
Coconut plantations,Del Gallego,44725741.4170532,67455.6619075151
Coconut plantations,Ragay,43712711.87146,48230.5407367779
Mangrove vegetation,Tinambac,2438408.10723877,12063.0130128738
"Arable land, crops mainly cereals and sugar",Caramoan,14857839.2819214,30291.3211884507
Unclassified,Garchitorena,70815.4537963867,2524.77363513047
Coral Reef,Caramoan,796161.828369141,7717.40784340302
Coral Reef,Caramoan,1620.78857421875,217.185447838851
Unclassified,Garchitorena,18351.5393066406,704.937031562355
Cultivated Area mixed with brushland/grassland,Garchitorena,2680827.99859619,12414.5056495732
"Arable land, crops mainly cereals and sugar",Caramoan,839087.486206055,6268.45674094385
Coral Reef,Caramoan,2710386.21868896,33771.4048144077
Coral Reef,Garchitorena,149032.343322754,2331.58891531514
Coral Reef,Lagonoy,214929.183837891,3086.29223334391
Crop land mixed with coconut plantation,Garchitorena,21883829.2061768,39416.2769460498
Crop land mixed with coconut plantation,Garchitorena,3048057.72784424,11998.2586235317
Crop land mixed with coconut plantation,Lagonoy,26498042.2612305,34449.3070281829
Coral Reef,Garchitorena,243459.083862305,4173.55380142817
